ID,Threat cluster,ENISA_Threat,E (category),CIA,L (lifecycle),S (segments),A (affected assets),TB (trust boundaries),Pre,TTP,CM,I,Conf,Threat Description (ENISA),Notes
TR01,Disaster,Atmospheric hazards,DIS / Disaster,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Simulators & Centralised Checkout System; Space: BUS (CDHS),Ground <-> Space (feeder / telecommand link),,,,,,"Disruption, or damage of satellite infrastructure as a result of atmospheric events such as electromagnetic pulses, geomagnetic disturbance, or termal radiation, as well as man-made space debris. Such developments can affect satellite systems both in the test environment and in orbit.",affected-asset text approximate (segments reliable)
TR02,Disaster,Environmental hazards,DIS / Disaster,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,Ground: Manufacturing system & Assembly & Soft/Hardware Test Tools & Transport & Launch & Satellite Control Centre & TTC Ground; Space: EPS (Solar Wings & Batteries); User: VSAT,User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,"Disruption, damage, or desctruction of satellite infrastructure (hardware and/or software) from natural hazards such as fire, floods, environmental pollution, dust, corrosion, frost, etc. Such developments are mainly focused on the satellite lifecycle phases related to the ground and user segment but can have cascading effects on links and the space segment, especially at check-out.",
TR03,Legacy infrastructure,Failure to maintain information systems,LEI / Legacy infrastructure,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch}",Ground,"Ground: Production (development, and quality assurance)",(none - single segment / internal),,,,,,Disruption or damage to satellite infrastructure due to a lack of maintenance or hardware regeneration at the asset's End of Life.,affected-asset text approximate (segments reliable)
TR04,Legacy infrastructure,Legacy software,LEI / Legacy infrastructure,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User,Ground: Production (Manufacturing systems & Assembly & Simulators) & Satellite Operations Centre (Mission Control System) & TTC Ground; Space: Bus & Payload; User: VSAT,User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link),,,,,,Unpatched/Outdated/Legacy COTS software deployed among the platform,
TR05,Outages,Personnel absence,OUT / Outages,A,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Human Resources,Human Resources: all assets,(none - single segment / internal),,,,,,"Threats pertaining to limited availability of critical staff, or lack thereof, at any of the satellite lifecycle phases. Personnel  absence may result in loss/unavailiability of relevant information and inability to complete tasks, comply with prescribed roles and responsibilities, or enforce the four-eyes principle for risk and quality assurance.",
TR06,Outages,Security services failure,OUT / Outages,A,{6:Operations},Ground,"Ground: Satellite control / TT&C system (security safeguards: firewalls, virus scans, log monitoring unavailable)",(none - single segment / internal),,,,,,"Unavailability of security safeguards such as firewalls, virus scans, log monitoring, etc. due to either system failure or malicious  action of an adversary. Security services are key for ensuring confidentiality, integrity and availability of satellite lifecycle  processes, their disruption may hence compromise each satellite lifecycle asset.",
TR07,Unintentional damage,Lack of segregation,UD / Unintentional Damage,CIA,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Space,Space: BUS (CDHS/COM) & Payload (PDHS/PLCOM/UDHS),(none - single segment / internal),,,,,,"Although uncommon, it is possible that a satellite does not have built-in bus-payload segregation, or that segregation is implemented improperly. If these two asset subdomains are not segregated, potential materialization of threats to the satellite bus can impact a wider set of assets, including the satellite payload.",
TR08,Unintentional damage,Operating errors,UD / Unintentional Damage,IA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground,"Ground: Design, development, and quality assurance & Manufacturing systems & Assembly & Simulators & Satellite Control Centre",(none - single segment / internal),,,,,,"Improper handling of systems or applications of satellite lifecycle assets can negatively impact each aspect of satellite lifecycle operations. It can lead to limitations, degradation or outright disruption of function of these assets.",affected-asset text approximate (segments reliable)
TR09,Unintentional damage,Software misconfiguration,UD / Unintentional Damage,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Design/dev/QA & Manufacturing & Assembly & Simulators & Satellite Control Centre; Ground & Space: SLE/SDL protocols; Space: all assets,Ground <-> Space (feeder / telecommand link),,,,,,"Improper configuration of software resulting in vulnerabilities such as unsecure code and/or logic errors. These may lead to unauthorized access enabling data corruption/modification (intentional or non-intentional) by threat actors, and cause further software or hardware failure, enable use of unauthorized software, or impact the confidentiality, integrity or availability data.",
TR10,Unintentional damage,Inadequate security planning/management,UD / Unintentional Damage,CIA,"{1:Design and Development,2:Assembly,3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space; User; Human Resources,Ground: all assets; Space: all assets; User: all assets; Human Resources: all assets,User <-> Ground/RAN (service link) ; Ground <-> Space (feeder / telecommand link) ; User <-> Space (direct service link) ; Human Resources <-> technical segment (organizational boundary),,,,,,"Lack of appropriate security planning in the Planning/Design phases of the lifecycle, resulting in a lack of testing, for example. Lack of adequate security management once the satellite infrastructure is in the operation phase may lead to unidentified or exposed critical assets, which results in a lack of relevant security measures due to limited visibility of the infrastructure in its entirety.",
TR11,Failures or malfunctions,Failure of air conditioning or water supply,FM / Failures or malfunctions,A,{6:Operations},Ground,Ground: Satellite Control (ground segment; overheating from air conditioning / water supply failure),(none - single segment / internal),,,,,,"Threat of basic services malfunctions which can result in unfavorable conditions for people and infrastructure/systems such as heat or frost, due to malfunctions of air conditioning and water supply, etc. Apart from the production and assembly phases of the satellite's lifecycle, these threats can also impact subsequent phases if affecting the ground stations (e.g. server rooms overheating due to air conditioning malfunction)",affected-asset text approximate (segments reliable)
TR12,Failures or malfunctions,Failure of Cloud infrastructure,FM / Failures or malfunctions,A,"{3:Pre-launch,4:Launch,5:In-orbit Testing,6:Operations,7:Decommissioning}",Ground; Space,Ground: Satellite Control (GSaaS/Cloud); Space: BUS (CDHS) & Payload,Ground <-> Space (feeder / telecommand link),,,,,,"With the proliferation of Cloud solutions and the rise of Ground Stations as a Service(GSaaS), threats to Cloud infrastructure can deny availability of satellite receivers in the ground segment, affecting ground stations as especially impacting users of GSaaS. This will be more pronounced with the introduction of Satellite Operations as a Service (SOaaS). Furthermore, the multi-tenant nature of SOaaS introduces distinct threats to data privacy and service availiability in orbit.",
